drug_id,drug_name,standardized_ingredient,drug_class
322,fosinopril,fosinopril,"ACE inhibitors, plain"
323,cimetidine,cimetidine,H2-receptor antagonists
324,dofetilide,dofetilide,"Antiarrhythmics, class III"
325,ferric maltol,ferric maltol,"Iron trivalent, oral preparations"
326,peginterferon beta1a,peginterferon beta1a,UNKNOWN_CLASS
327,oxacillin,oxacillin,Beta-lactamase resistant penicillins
328,octreotide,octreotide,Somatostatin and analogues
329,didanosine,didanosine,Nucleoside and nucleotide reverse transcriptase inhibitors
330,ivermectin,ivermectin,Other dermatologicals
331,ibuprofen,ibuprofen,Other cardiac preparations
332,meperidine,meperidine,Phenylpiperidine derivatives
333,estramustine,estramustine,Other antineoplastic agents
334,roflumilast,roflumilast,Other antipsoriatics for topical use
335,diclofenac,diclofenac,Other dermatologicals
336,repaglinide,repaglinide,"Other blood glucose lowering drugs, excl. insulins"
337,ferrous gluconate,ferrous gluconate,"Iron bivalent, oral preparations"
338,methylphenobarbital,mephobarbital,Barbiturates and derivatives
339,guanabenz,guanabenz,Guanabenz
340,miltefosine,miltefosine,Other agents against leishmaniasis and trypanosomiasis
341,stiripentol,stiripentol,Other antiepileptics
342,bumetanide,bumetanide,"Sulfonamides, plain"
343,tolevamer,tolevamer,UNKNOWN_CLASS
344,tetracycline,tetracycline,Antiinfectives and antiseptics for local oral treatment
345,thioridazine,thioridazine,Phenothiazines with piperidine structure
346,adenosine,adenosine,Other cardiac preparations
347,desipramine,desipramine,Non-selective monoamine reuptake inhibitors
348,esmolol,esmolol,"Beta blocking agents, selective"
349,zinc acetate,zinc acetate,Various alimentary tract and metabolism products
350,sufentanil,sufentanil,Opioid anesthetics
351,procarbazine,procarbazine,Methylhydrazines
352,sotalol,sotalol,"Beta blocking agents, non-selective"
353,benzatropine,benztropine,Ethers of tropine or tropine derivatives
354,cariprazine,cariprazine,Other antipsychotics
355,fomepizole,fomepizole,Antidotes
356,penbutolol,penbutolol,"Beta blocking agents, non-selective"
357,isoniazid,isoniazid,Hydrazides
358,vibrio cholerae cvd 103hgr strain live antigen live,vibrio cholerae cvd 103hgr strain live antigen live,Increased Antibody Activity
359,amobarbital,amobarbital,"Barbiturates, plain"
360,azilsartan medoxomil,azilsartan medoxomil,"Angiotensin II receptor blockers (ARBs), plain"
361,loracarbef,loracarbef,Second-generation cephalosporins
362,salsalate,salsalate,Salicylic acid and derivatives
363,levothyroxine,levothyroxine,Thyroid hormones
364,demeclocycline,demeclocycline,Tetracycline and derivatives
365,eprosartan,eprosartan,"Angiotensin II receptor blockers (ARBs), plain"
366,ethionamide,ethionamide,Thiocarbamide derivatives
367,armodafinil,armodafinil,Centrally acting sympathomimetics
368,ampicillin,ampicillin,Penicillins with extended spectrum
369,captopril,captopril,"ACE inhibitors, plain"
370,erythromycin,erythromycin,Antiinfectives for treatment of acne
371,clonazepam,clonazepam,Benzodiazepine derivatives
372,sulindac,sulindac,Acetic acid derivatives and related substances
373,etravirine,etravirine,Non-nucleoside reverse transcriptase inhibitors
374,estradiol,estradiol,"Natural and semisynthetic estrogens, plain"
375,bisoprolol,bisoprolol,"Beta blocking agents, selective"
376,tolcapone,tolcapone,Other dopaminergic agents
377,olopatadine nasal,olopatadine,"Antiallergic agents, excl. corticosteroids"
378,chlorzoxazone,chlorzoxazone,"Oxazol, thiazine, and triazine derivatives"
379,pramipexole,pramipexole,Dopamine agonists
380,methocarbamol,methocarbamol,Carbamic acid esters
381,phendimetrazine,phendimetrazine,Morpholines
382,pemigatinib,pemigatinib,Fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitors
383,sorafenib,sorafenib,Other protein kinase inhibitors
384,boceprevir,boceprevir,Antivirals for treatment of HCV infections
385,calcium carbonate,calcium carbonate,Calcium compounds
386,molindone,molindone,Indole derivatives
