drug_id,drug_name,standardized_ingredient,drug_class
117,pantoprazole sodium,pantoprazole sodium,Proton Pump Inhibitor
118,sotalol hydrochloride,sotalol hydrochloride,Antiarrhythmic
119,viibryd,vilazodone hydrochloride,UNKNOWN_CLASS
120,esomeprazole magnesium,esomeprazole magnesium,Proton Pump Inhibitor
121,abiraterone acetate,abiraterone acetate,Cytochrome P450 17A1 Inhibitor
122,neomycin sulfate,neomycin sulfate,Aminoglycoside Antibacterial
123,pioglitazone,pioglitazone hydrochloride,Peroxisome Proliferator Receptor alpha Agonist
124,velsipity,etrasimod arginine,Sphingosine 1-phosphate Receptor Modulator
125,montelukast sodium,montelukast sodium,Leukotriene Receptor Antagonist
126,vardenafil hydrochloride,vardenafil hydrochloride,Phosphodiesterase 5 Inhibitor
127,tofacitinib,tofacitinib citrate,Janus Kinase Inhibitor
128,propranolol hydrochloride,propranolol hydrochloride,beta-Adrenergic Blocker
129,fingolimod,fingolimod hydrochloride,Sphingosine 1-phosphate Receptor Modulator
130,loperamide hydrochloride,loperamide hydrochloride,Opioid Agonist
131,alfuzosin hydrochloride,alfuzosin hydrochloride,alpha-Adrenergic Blocker
132,prazosin hydrochloride,prazosin hydrochloride,alpha-Adrenergic Blocker
133,clopidogrel,clopidogrel bisulfate,P2Y12 Platelet Inhibitor
134,rabeprazole sodium,rabeprazole sodium,Proton Pump Inhibitor
135,creon,pancrelipase amylase,UNKNOWN_CLASS
136,orphenadrine citrate,orphenadrine citrate,Muscle Relaxant
137,nortriptyline hydrochloride,nortriptyline hydrochloride,Tricyclic Antidepressant
138,tenofovir disoproxil fumarate,tenofovir disoproxil fumarate,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor
139,phendimetrazine tartrate,phendimetrazine tartrate,Sympathomimetic Amine Anorectic
140,prednisolone sodium phosphate,prednisolone sodium phosphate,Corticosteroid
141,alendronate sodium,alendronate sodium,Bisphosphonate
142,sodium citrate and citric acid,anhydrous citric acid,Anti-coagulant
143,diethylpropion hydrochloride,diethylpropion hydrochloride,Sympathomimetic Amine Anorectic
144,selegiline hydrochloride,selegiline hydrochloride,Monoamine Oxidase Inhibitor
145,donepezil hydrochloride,donepezil hydrochloride,Cholinesterase Inhibitor
146,ropinirole hydrochloride,ropinirole hydrochloride,Nonergot Dopamine Agonist
147,pramipexole dihydrochloride,pramipexole dihydrochloride,Nonergot Dopamine Agonist
148,sacubitril and valsartan,sacubitril,Angiotensin 2 Receptor Blocker
149,demeclocycline hydrochloride,demeclocycline hydrochloride,Tetracycline-class Antimicrobial
150,colibacillinum,escherichia coli,UNKNOWN_CLASS
151,bethanechol chloride,bethanechol chloride,Cholinergic Muscarinic Agonist
152,naproxen sodium,naproxen sodium,Nonsteroidal Anti-inflammatory Drug
